title,genres,runtime,vote_average,vote_count,year
Love & Human Remains,"['Comedy', 'Drama']",100.0,7.0,7.0,1993
Mad Love,"['Drama', 'Family', 'Romance']",95.0,5.5,27.0,1995
Mallrats,"['Romance', 'Comedy']",94.0,6.8,400.0,1995
Mighty Morphin Power Rangers: The Movie,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",92.0,5.2,153.0,1995
Moonlight and Valentino,"['Comedy', 'Drama', 'Romance']",100.0,5.6,10.0,1995
Mute Witness,"['Thriller', 'Foreign']",95.0,6.4,36.0,1995
Nadja,"['Horror', 'Thriller']",93.0,5.9,12.0,1994
The Net,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",114.0,5.6,359.0,1995
Nine Months,['Comedy'],103.0,5.5,171.0,1995
Party Girl,['Comedy'],94.0,5.8,14.0,1995
The Prophecy,"['Fantasy', 'Horror', 'Thriller']",98.0,6.4,139.0,1995
Reckless,"['Fantasy', 'Comedy', 'Drama']",91.0,10.0,1.0,1995
Safe,['Drama'],119.0,7.2,62.0,1995
The Scarlet Letter,"['Drama', 'History', 'Romance']",135.0,5.5,111.0,1995
The Show,['Documentary'],93.0,5.3,2.0,1995
Showgirls,['Drama'],128.0,4.9,261.0,1995
Smoke,"['Comedy', 'Drama']",112.0,7.2,115.0,1995
Something to Talk About,['Comedy'],106.0,5.7,60.0,1995
Species,"['Science Fiction', 'Horror', 'Action']",108.0,5.5,457.0,1995
The Stars Fell on Henrietta,['Drama'],109.0,6.6,6.0,1995
Strange Days,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",145.0,6.8,334.0,1995
The Umbrellas of Cherbourg,"['Drama', 'Romance']",91.0,7.6,119.0,1964
The Tie That Binds,['Thriller'],99.0,4.6,9.0,1995
Three Wishes,"['Drama', 'Fantasy']",115.0,6.1,18.0,1995
Total Eclipse,"['Drama', 'Romance']",111.0,6.5,112.0,1995
"To Wong Foo, Thanks for Everything! Julie Newmar",['Comedy'],105.0,6.3,117.0,1995
Under Siege 2: Dark Territory,"['Action', 'Thriller']",100.0,5.6,217.0,1995
Unstrung Heroes,"['Comedy', 'Drama', 'Family']",93.0,6.4,9.0,1995
Unzipped,['Documentary'],73.0,6.0,6.0,1995
A Walk in the Clouds,"['Drama', 'Romance']",103.0,6.5,168.0,1995
Waterworld,"['Adventure', 'Action']",135.0,5.9,1017.0,1995
White Man's Burden,['Drama'],89.0,5.1,25.0,1995
Wild Bill,"['Action', 'Western']",98.0,5.9,27.0,1995
The Browning Version,['Drama'],97.0,6.0,11.0,1994
Bushwhacked,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']",90.0,4.9,29.0,1995
Burnt by the Sun,['Drama'],135.0,6.7,35.0,1994
Before the Rain,"['Drama', 'War']",113.0,7.7,45.0,1994
Before Sunrise,"['Drama', 'Romance']",105.0,7.7,984.0,1995
Billy Madison,['Comedy'],89.0,6.2,464.0,1995
The Babysitter,"['Drama', 'Thriller']",90.0,4.7,27.0,1995
Boys on the Side,"['Comedy', 'Drama']",115.0,6.3,48.0,1995
The Cure,"['Drama', 'Family']",97.0,7.2,58.0,1995
Castle Freak,"['Thriller', 'Drama', 'Horror', 'Mystery']",95.0,5.8,40.0,1995
Circle of Friends,"['Drama', 'Family', 'Romance']",103.0,6.5,30.0,1995
Clerks,['Comedy'],92.0,7.4,769.0,1994
Don Juan DeMarco,"['Romance', 'Drama', 'Comedy']",97.0,6.3,184.0,1994
Disclosure,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",123.0,5.9,217.0,1994
Dream Man,['Thriller'],0.0,2.5,1.0,1995
Drop Zone,"['Action', 'Adventure', 'Thriller']",101.0,5.1,91.0,1994
Destiny Turns on the Radio,"['Crime', 'Comedy', 'Fantasy']",0.0,5.3,9.0,1995
Death and the Maiden,"['Drama', 'Thriller', 'Mystery']",103.0,7.1,92.0,1994
Dolores Claiborne,"['Crime', 'Drama', 'Mystery']",132.0,7.1,183.0,1995
Dumb and Dumber,['Comedy'],107.0,6.5,1894.0,1994
Eat Drink Man Woman,"['Comedy', 'Drama', 'Romance']",123.0,7.5,76.0,1994
Exotica,"['Drama', 'Mystery']",103.0,6.5,64.0,1994
Exit to Eden,"['Thriller', 'Comedy', 'Crime', 'Romance']",113.0,4.3,28.0,1994
Ed Wood,"['Comedy', 'Drama', 'History']",127.0,7.3,639.0,1994
French Kiss,"['Comedy', 'Romance']",111.0,6.2,179.0,1995
Forget Paris,"['Comedy', 'Drama', 'Romance']",101.0,6.1,38.0,1995
Far from Home: The Adventures of Yellow Dog,"['Action', 'Adventure', 'Drama', 'Family']",87.0,5.6,27.0,1995
A Goofy Movie,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",78.0,6.7,404.0,1995
Hideaway,"['Drama', 'Thriller']",103.0,5.0,24.0,1995
Fluke,"['Drama', 'Family', 'Fantasy']",96.0,6.6,48.0,1995
Farinelli,"['History', 'Drama']",111.0,5.9,20.0,1994
Gordy,"['Drama', 'Family', 'Fantasy']",90.0,3.0,4.0,1995
Gumby: The Movie,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",77.0,5.0,2.0,1995
The Glass Shield,"['Drama', 'Action', 'Thriller', 'Crime']",109.0,5.4,9.0,1994
Hoop Dreams,['Documentary'],171.0,7.7,91.0,1994
Heavenly Creatures,"['Drama', 'Fantasy']",99.0,6.9,299.0,1994
Houseguest,"['Comedy', 'Family']",113.0,6.0,17.0,1995
Immortal Beloved,"['Drama', 'Music', 'Romance']",121.0,6.9,90.0,1994
Heavyweights,"['Comedy', 'Family', 'Drama']",100.0,6.0,97.0,1995
The Hunted,"['Action', 'Thriller']",106.0,6.0,25.0,1995
I.Q.,"['Comedy', 'Drama', 'Romance']",100.0,5.9,112.0,1994
Interview with the Vampire,"['Horror', 'Romance']",123.0,7.2,1558.0,1994
Jefferson in Paris,"['Drama', 'Romance']",139.0,5.2,10.0,1995
The Jerky Boys,"['Comedy', 'Crime']",82.0,4.8,10.0,1995
Junior,"['Comedy', 'Family', 'Romance']",109.0,4.7,381.0,1994
Just Cause,"['Action', 'Drama', 'Mystery', 'Thriller']",102.0,6.0,124.0,1995
A Kid in King Arthur's Court,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']",89.0,4.3,40.0,1995
Kiss of Death,"['Action', 'Crime', 'Drama', 'Thriller']",101.0,5.7,83.0,1995
Star Wars,"['Adventure', 'Action', 'Science Fiction']",121.0,8.1,6778.0,1977
Little Women,"['Drama', 'Romance']",115.0,7.0,222.0,1994
A Little Princess,"['Drama', 'Family', 'Fantasy']",97.0,7.4,207.0,1995
Ladybird Ladybird,['Drama'],101.0,7.4,14.0,1994
L'Enfer,"['Crime', 'Drama']",100.0,6.6,22.0,1994
Like Water for Chocolate,"['Drama', 'Romance']",105.0,6.6,70.0,1992
Legends of the Fall,"['Adventure', 'Drama', 'Romance', 'War']",133.0,7.2,636.0,1994
Major Payne,"['Adventure', 'Comedy', 'Family']",95.0,6.1,164.0,1995
Little Odessa,"['Action', 'Drama']",98.0,6.4,31.0,1994
Mi Vida Loca,"['Crime', 'Drama']",92.0,5.7,9.0,1994
Love Affair,"['Drama', 'Romance']",108.0,4.3,11.0,1994
Losing Isaiah,['Drama'],106.0,6.4,28.0,1995
The Madness of King George,"['Comedy', 'Drama', 'History']",107.0,6.7,67.0,1994
Mary Shelley's Frankenstein,"['Drama', 'Horror', 'Science Fiction', 'Romance']",123.0,6.1,272.0,1994
Man of the House,"['Action', 'Comedy', 'Family']",96.0,5.1,40.0,1995
Mixed Nuts,"['Comedy', 'Drama', 'Romance']",97.0,5.2,37.0,1994
Milk Money,"['Comedy', 'Romance']",108.0,5.6,49.0,1994
Miracle on 34th Street,"['Fantasy', 'Drama', 'Family']",114.0,6.4,199.0,1994
Miami Rhapsody,"['Comedy', 'Romance']",95.0,5.6,7.0,1995
My Family,"['Comedy', 'Drama']",128.0,7.0,11.0,1995
Murder in the First,"['Crime', 'Drama']",122.0,6.9,140.0,1995
Nobody's Fool,"['Drama', 'Comedy']",110.0,7.0,56.0,1994
Nell,"['Drama', 'Thriller']",112.0,6.1,128.0,1994
New Jersey Drive,"['Crime', 'Drama']",98.0,6.9,7.0,1995
New York Cop,"['Action', 'Thriller', 'Crime', 'Drama']",93.0,0.0,0.0,1993
Beyond Bedlam,['Horror'],89.0,4.0,4.0,1994
Nemesis 2 - Nebula,"['Science Fiction', 'Action', 'Thriller']",83.0,4.6,10.0,1995
Nina Takes a Lover,"['Drama', 'Romance']",100.0,7.4,4.0,1995
Natural Born Killers,"['Crime', 'Thriller', 'Drama']",119.0,6.9,927.0,1994
Only You,"['Comedy', 'Drama', 'Romance']",115.0,6.4,92.0,1994
Once Were Warriors,['Drama'],99.0,7.6,106.0,1994
Poison Ivy II: Lily,"['Drama', 'Romance', 'Thriller']",106.0,4.6,32.0,1996
Outbreak,"['Action', 'Drama', 'Science Fiction', 'Thriller']",127.0,6.4,522.0,1995
Leon: The Professional,"['Thriller', 'Crime', 'Drama']",110.0,8.2,4293.0,1994
The Perez Family,"['Comedy', 'Drama', 'Romance']",113.0,6.6,9.0,1995
A Pyromaniac's Love Story,"['Comedy', 'Drama', 'Romance']",94.0,7.0,2.0,1995
Pulp Fiction,"['Thriller', 'Crime']",154.0,8.3,8670.0,1994
Panther,['Drama'],124.0,6.4,6.0,1995
Pushing Hands,"['Comedy', 'Drama']",105.0,6.1,9.0,1992
Priest,"['Drama', 'Romance']",98.0,6.4,32.0,1994
Quiz Show,"['History', 'Drama']",133.0,7.1,262.0,1994
Picture Bride,"['Drama', 'History']",94.0,7.4,5.0,1995
Queen Margot,"['Drama', 'History']",162.0,7.0,67.0,1994
The Quick and the Dead,"['Action', 'Western']",107.0,6.2,431.0,1995
Roommates,"['Drama', 'Comedy']",108.0,6.4,7.0,1995
Prêt-à-Porter,"['Drama', 'Comedy']",133.0,5.3,33.0,1994
Three Colors: Red,"['Drama', 'Mystery', 'Romance']",99.0,7.8,246.0,1994
Three Colors: Blue,"['Drama', 'Music', 'Mystery']",98.0,7.7,311.0,1993
Three Colors: White,"['Comedy', 'Drama', 'Mystery']",91.0,7.3,218.0,1994
"Red Firecracker, Green Firecracker",['Drama'],111.0,7.0,2.0,1994
Rent-a-Kid,"['Comedy', 'Family', 'TV Movie']",85.0,5.1,15.0,1995
Relative Fear,"['Horror', 'Drama']",90.0,4.7,3.0,1995
Stuart Saves His Family,"['Comedy', 'Drama']",95.0,5.0,6.0,1995
The Swan Princess,['Animation'],89.0,6.5,251.0,1994
The Secret of Roan Inish,"['Drama', 'Family', 'Fantasy']",97.0,6.1,15.0,1994
The Specialist,"['Action', 'Thriller']",110.0,5.5,317.0,1994
Stargate,"['Action', 'Adventure', 'Science Fiction']",121.0,6.8,942.0,1994
The Santa Clause,"['Fantasy', 'Drama', 'Comedy', 'Family']",97.0,6.3,501.0,1994
The Shawshank Redemption,"['Drama', 'Crime']",142.0,8.5,8358.0,1994
Shallow Grave,"['Crime', 'Thriller']",92.0,7.0,247.0,1994
Suture,"['Drama', 'Thriller']",96.0,6.0,7.0,1993
Strawberry and Chocolate,"['Comedy', 'Drama']",108.0,7.1,16.0,1993
Swimming with Sharks,"['Crime', 'Comedy']",101.0,6.7,104.0,1994
The Sum of Us,"['Comedy', 'Drama', 'Romance']",100.0,6.0,21.0,1994
Senior Trip,['Comedy'],91.0,5.7,23.0,1995
To Live,"['Drama', 'Romance', 'War']",125.0,7.7,62.0,1994
Tank Girl,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']",98.0,5.5,140.0,1995
Tales from the Crypt: Demon Knight,"['Horror', 'Comedy', 'Thriller']",92.0,6.7,96.0,1995
Star Trek: Generations,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",118.0,6.4,461.0,1994
Tales from the Hood,"['Crime', 'Horror', 'Thriller']",98.0,5.4,33.0,1995
Tom & Viv,"['Drama', 'Romance']",115.0,5.8,8.0,1994
Village of the Damned,"['Thriller', 'Horror', 'Science Fiction']",99.0,5.6,165.0,1995
Tommy Boy,['Comedy'],97.0,6.8,321.0,1995
Vanya on 42nd Street,"['Drama', 'Romance']",119.0,6.1,15.0,1994
The Underneath,"['Thriller', 'Crime']",99.0,5.6,15.0,1995
The Walking Dead,"['Drama', 'War']",88.0,6.6,4.0,1995
What's Eating Gilbert Grape,"['Romance', 'Drama']",118.0,7.5,943.0,1993
Virtuosity,"['Action', 'Crime', 'Science Fiction', 'Thriller']",106.0,5.4,163.0,1995
While You Were Sleeping,"['Comedy', 'Drama', 'Romance']",103.0,6.5,340.0,1995
The War,['Drama'],126.0,6.3,39.0,1994
Double Happiness,"['Comedy', 'Romance']",87.0,5.5,2.0,1994
Muriel's Wedding,"['Drama', 'Comedy', 'Romance']",106.0,6.9,104.0,1994
The Baby-Sitters Club,"['Comedy', 'Drama', 'Family']",94.0,5.3,23.0,1995
Ace Ventura: Pet Detective,"['Comedy', 'Mystery']",86.0,6.4,1684.0,1994
"The Adventures of Priscilla, Queen of the Desert","['Drama', 'Comedy']",104.0,7.2,174.0,1994
Backbeat,"['Drama', 'Music']",100.0,6.2,37.0,1994
Bitter Moon,"['Thriller', 'Drama', 'Romance']",139.0,7.0,115.0,1992
Bullets Over Broadway,"['Action', 'Comedy', 'Thriller']",98.0,7.0,130.0,1994
Clear and Present Danger,"['Action', 'Drama', 'Thriller']",141.0,6.4,390.0,1994
The Client,"['Drama', 'Thriller', 'Crime', 'Mystery']",119.0,6.4,287.0,1994
"Corrina, Corrina","['Comedy', 'Drama', 'Family', 'Romance']",115.0,6.4,83.0,1994
Crooklyn,"['Comedy', 'Drama']",115.0,6.7,31.0,1994
The Crow,"['Fantasy', 'Action', 'Thriller']",102.0,7.3,980.0,1994
Cobb,['Drama'],128.0,6.1,29.0,1994
The Flintstones,"['Fantasy', 'Comedy', 'Family']",91.0,5.0,559.0,1994
Forrest Gump,"['Comedy', 'Drama', 'Romance']",142.0,8.2,8147.0,1994
